,logFC,logCPM,PValue
APOD,12.1269126403466,9.63790282516888,4.46700467129746e-05
RRM2,11.8986663476275,9.41068704959533,0.00319742304019054
GLYATL2,11.1511621082739,8.66821288244023,5.70665124538985e-05
CRISP3,10.0399915253185,7.57207247086199,0.0204862496476971
ABCC11,9.98193517729366,7.5149639499781,0.00149707149647599
NARF,9.53529648487843,7.07857067080862,0.0049209525433117
ZNF121,9.50623365234741,7.04998778013128,0.00623309446225616
AGR2,9.32940614188294,6.87744224890257,0.0396273807955105
RPA1,9.31420375544035,6.86345197803854,0.008342466612416
EPHA2,9.31264813695105,6.86191340907875,0.0221469369054492
UBE2T,9.19783119389587,6.75089255834638,0.0116249064947307
TCTN3,9.15740354754006,6.71167114016512,0.0223903041114279
RNF20,9.10672831139241,6.66318164069334,0.00364532954673724
CA2,9.08666687933956,6.64337278763893,0.0216811395555002
CRTAP,8.9735292501912,6.53464702103993,0.012343463511456
DDHD2,8.95796750556808,6.51974094656777,0.029443209728959
ZNF93,8.94780244769655,6.50999299364191,0.0240717497090754
SLC31A2,8.93131722572019,6.49417928486884,0.0224024461377371
CDC45,8.91029607183195,6.47456052532887,0.0426905693211491
PEX11A,8.90178124997133,6.46569395312984,0.0178689961790033
ESAM,8.8769912855667,6.44173253126732,0.0297671861586092
ELP6,8.87274638124036,6.43785604301435,0.0192432449039455
FBXO22,8.84131621993564,6.40763560537215,0.0223720400460447
AIF1L,8.82527568189725,6.39236163168508,0.0237399075889581
EVA1C,8.76090759762272,6.33086349375179,0.0453725383936659
APAF1,8.70681457876962,6.27900185403256,0.0320399613851131
C21orf2,8.67578571246195,6.24942328687293,0.024733601691181
ALAS1,8.65944942849726,6.2340060164946,0.0300202119536512
RECQL4,8.63955299856796,6.21535604881586,0.0392694457143294
VIPAS39,8.63153713362325,6.20745891686248,0.0244402911269178
TMOD1,8.53845561689062,6.11872846564469,0.0403883339300291
FBXO3,8.53355197450985,6.11450124709543,0.0495353838495984
KLF10,8.52158173541854,6.1034148253703,0.0464008650651891
KIAA2022,8.49443282960923,6.07742565857605,0.0491051901140032
PIM1,8.41733293940337,6.00492437869677,0.0497795847998117
ALDH1A3,8.37031206225517,8.87034277261374,0.00310616700373464
HIST1H2BK,8.12368661783372,7.89513956006422,6.88225523567476e-05
RCAN1,7.45189965047721,7.15685742891131,0.0226361772189073
SP110,6.74045204777825,6.56263945214518,0.0143625722258486
CPE,6.73538502901239,6.46298851078906,0.0480634879501245
SCGB2A2,6.42474934615846,12.4855769908002,0.00687186980134467
GPR126,6.12245192280686,6.79753964240689,0.0292856599899295
TGFB2,5.90855452098053,6.95551244021832,0.0393553858119086
SLBP,5.88913276384298,7.35344449376167,0.00435526829878269
XPO1,5.88859227976327,6.56996889152884,0.0226671844166307
MED23,5.5221407869904,7.41225188857628,0.00645145534353111
SCGB1D2,5.46107139983255,8.49118192286292,0.0264965742906922
UGDH,5.45149326176681,8.43925173543638,0.0112471867086794
HADH,5.4244387332045,7.72859176856512,0.00317732644139424
SLC5A6,5.20235124480607,6.93560215340227,0.030559247620343
ZBTB1,5.20032881000408,6.64621337429923,0.0235497186457356
RBBP6,4.92439499495685,6.73904164298829,0.0448124484389228
ASL,4.86863298050161,7.24163557887511,0.0219758053691426
SCD,4.78069054613196,8.94579691453456,0.032855877939459
PAPSS2,4.72106546885362,7.28457046246361,0.0390523505198823
TRPV6,4.66616319616888,7.04635701781939,0.0272435336072753
RBM18,4.53061221065574,7.18064304205064,0.0343099502682937
CYR61,4.50466268505649,10.7736480950173,0.0124629598920759
LRG1,4.4132978677012,6.80193305551702,0.0493281486418678
GTPBP4,4.26858363958395,6.68911558547179,0.0479611691486773
FLNA,4.25181913102049,9.05390259936798,0.00891832860087426
FGFR4,4.00138062191216,8.92597160739215,0.0114942891556316
FBXO32,3.99383438901568,8.66582323586995,0.0103264076710116
UBAP2,3.89759968324772,7.34385928333636,0.0263037862427955
PRRC1,3.72630509803879,8.14843627939655,0.0110178899066988
SLPI,3.42615585368006,12.1410727871617,0.00595039026139592
ZNF207,3.34548796549471,8.15556694147848,0.0163690145181723
FAM84B,3.29900187340224,8.10044668652116,0.0453675911796976
TGOLN2,3.27097898322067,7.61582427202277,0.0341817437817851
BLCAP,3.23020579637013,7.4211584791509,0.0495580635452575
AZGP1,2.93979469771998,10.2078849527824,0.0239434083398276
FKBP4,2.92548197426514,8.01182110116866,0.0392154252729694
PTGR1,2.83281850652978,8.06303695720191,0.0392019550496333
HMGCS2,2.56087767758847,12.7537864578949,0.0481174240132979
PTPLAD1,2.46070835289604,8.81875848109675,0.0487684073352601
FAM162A,2.36728702643619,9.25681146284987,0.0496722837267424
